ID,类型,推理功能,名称,文字描述
CA000,Item/Memory/Logic/Power,,XX的回忆,XX想起那天下午父亲带他到仓库...
CA001,Power,,Ego,
CA002,Item,,死亡证明,"事故概况：X025年9月12日，A省A市A区鹤江大桥，牌号为XXX92的货车违规进入非机动车道，与一名22岁骑行人发生碰撞。
车事故原因：货车司机疲劳驾驶，方向盘失控。"
CA003,Item,A1,结婚照,"被收在杂物间里泛黄、有虫蛀的婚纱照。
印刷字迹尚可辨认，写着妻子李爱薇，丈夫胡永。
女方人像上画着奇怪的符号，看着像是”六边形“三字的汉字变形"
CA004,Item,C1,五十万现金,"用好几层黑塑料袋套着的崭新现金。
严谨的你清点了几遍，确定实际数目是四十九万八千六百元。"
CA005,Item,B1,陈旧手稿,上世纪C国作家的未公开手稿，近日电影《饮鸩止渴》原著，被个人买家重金购入。上面有很新的修改字迹。
CA006,Memory,A2 C2,灾星,李爱薇做了伤天害理的事使胡永良心难安，梦见女鬼无法入睡，最终疲劳驾驶造成交通事故。
CA007,Memory,B2,《饮鸩止渴》导演,"
你记得《饮鸩止渴》改编自一份天价未公开手稿，导演即为购买者，姓李。
工作人员说《饮鸩止渴》是原创剧本，导演姓吴。"
CA008,Power,,AAA新闻社,
CA009,Item,,恐怖快递,"章立所效力的娱乐公司近日接连有工作人员收到恐怖快递，里边或是死老鼠，或是带有红色液体的刀片……
快递单寄件人署名李弦，寄件地址正是李弦常住的高档小区。
"
CA010,Item,C3 B3,"《饮鸩止渴》海报
","李弦饰演的女主一袭黑衣位于正中。导演姓名是李XX。依据海报上写的时间，可推断现在该片正在上映中。
"
CA011,Item,,两条狗狗项圈,"同款样式，被收在卧房床头柜抽屉中，保养得很好。正面是名字，背面是一串日期。
Echo:X001.03.02-X017.12.27
小黄：？？？-Z995.01.28
"
CA012,Logic,AI,邪教害人,李爱薇似因迷信邪教干了伤天害理的事
CA013,Logic,BI,神秘的导演,《饮鸩止渴》导演或许另有与陈旧手稿紧密相关的神秘身份
CA014,Logic,CI,违心之事,李爱薇受人所托，收受贿赂后干了伤天害理的事
CA015,Item,,血书,"疑似为李弦生前留下，上面写着：你们敢看着我的眼睛说话吗？
"
CA016,Item,A3,一则视频,"不知名账号发出的视频，视频中一个瘦小干瘪的女人拿着身份证在叙述她的女儿李弦在1995年1月28号谋杀了她当时的丈夫王大有，有同村目击者可以作证。
该视频前排评论都是对李弦的声讨。
"
CA017,Item,,一则微博,"李弦认证账号于X025.9.7晚23：59分发出一条微博。
内容：你们敢看着我的眼睛说话吗？
该微博发出后未满一分钟评论区已被挤爆，再点进就已显示不可查看。
"
CA018,Memory,,祸水东引,"李弦被其母指控杀人这件事背后有娱乐公司公关部的推动。
精神混乱的实习生的默认台词：我只是个普通实习生啊，我怎么会收到这种快递……
"
CA019,Memory,B4,闹事女子,与李弦有同期竞争影片的章立麾下艺人苏新辞有惊天黑料。
CA020,Memory,A4 C4,你的记忆,
CA021,Item,,你的日记,"“《饮鸩止渴》角色海报出了，李弦真的很适合穿黑大衣啊我说，好期待！”——X025.5.23
“这事一出，最近真是忙得飞起，焦虑得每天睡不好。”——X025.9.9
"
CA022,Logic,"AⅡ
",阴狠的女孩,"李弦于12岁时用农药谋杀了他的亲生父亲王大有，并企图嫁祸其母李爱薇，其母走投无路深受打击，邪教趁虚而入将其发展为成员。
"
